3,1,1,0,0,473,0
4,1,1,0,0,472,0
5,1,1,0,0,471,0
6,1,1,0,0,470,0
7,1,1,0,0,468,0
8,1,1,0,0,468,0
9,1,1,0,0,467,0
10,1,1,0,0,467,0
11,1,1,0,0,467,0
12,1,1,0,0,467,0
13,1,1,0,0,468,0
14,1,1,0,0,468,0
15,1,1,0,0,468,0
0,1,1,0,0,469,0
1,1,1,0,0,470,0
2,1,1,0,0,470,0
3,1,1,0,0,470,0
4,1,1,0,0,469,0
5,1,1,0,0,469,0
6,1,1,0,0,468,0
7,1,1,0,0,468,0
8,1,1,0,0,467,0
9,1,1,0,0,467,0
10,1,1,0,0,468,0
11,1,1,0,0,467,0
12,1,1,0,0,467,0
13,1,1,0,0,467,0
14,1,1,0,0,468,0
15,1,1,0,0,469,0
0,1,1,0,0,470,0
1,1,1,0,0,471,0
2,1,1,0,0,472,0
3,1,1,0,0,472,0
4,1,1,0,0,473,0
5,1,1,0,0,475,0
6,1,1,0,0,476,0
7,1,1,0,0,477,0
8,1,1,0,0,479,0
9,1,1,0,0,480,0
10,1,1,0,0,481,0
11,1,1,0,0,481,0
12,1,1,0,0,481,0
13,1,1,0,0,482,0
14,1,1,0,0,483,0
15,1,1,0,0,484,0
0,1,1,0,0,483,0
1,1,1,0,0,484,0
2,1,1,0,0,485,0
3,1,1,0,0,487,0
4,1,1,0,0,489,0
5,1,1,0,0,492,0
6,1,1,0,0,493,0
7,1,1,0,0,495,0
8,1,1,0,0,497,0
9,1,1,0,0,499,0
10,1,1,0,0,502,0
11,1,1,0,0,504,0
12,1,1,0,0,506,0
13,1,1,0,0,508,0
14,1,1,0,0,510,0
15,1,1,0,0,511,0
0,1,1,0,0,511,0
1,1,1,0,0,513,0
2,1,1,0,0,515,0
3,1,1,0,0,516,0
4,1,1,0,0,518,0
5,1,1,0,0,519,0
6,1,1,0,0,521,0
7,1,1,0,0,523,0
8,1,1,0,0,525,0
9,1,1,0,0,527,0
10,1,1,0,0,529,0
11,1,1,0,0,531,0
12,1,1,0,0,532,0
13,1,1,0,0,535,0
14,1,1,0,0,537,0
15,1,1,0,0,539,0
0,1,1,0,0,540,0
1,1,1,0,0,542,0
2,1,1,0,0,542,0
3,1,1,0,0,543,0
4,1,1,0,0,544,0
5,1,1,0,0,543,0
6,1,1,0,0,544,0
7,1,1,0,0,543,0
8,1,1,0,0,544,0
9,1,1,0,0,545,0
10,1,1,0,0,545,0
11,1,1,0,0,547,0
12,1,1,0,0,548,0
13,1,1,0,0,550,0
14,1,1,0,0,550,0
15,1,1,0,0,550,0
0,1,1,0,0,551,0
1,1,1,0,0,552,0
2,1,1,0,0,553,0
3,1,1,0,0,554,0
4,1,1,0,0,555,0
5,1,1,0,0,555,0
6,1,1,0,0,555,0
7,1,1,0,0,556,0
8,1,1,0,0,555,0
9,1,1,0,0,555,0
10,1,1,0,0,555,0
11,1,1,0,0,554,0
12,1,1,0,0,553,0
13,1,1,0,0,553,0
14,1,1,0,0,553,0
15,1,1,0,0,553,0
0,1,1,0,0,553,0
1,1,1,0,0,554,0
2,1,1,0,0,554,0
3,1,1,0,0,554,0
4,1,1,0,0,555,0
5,1,1,0,0,555,0
6,1,1,0,0,556,0
7,1,1,0,0,556,0
8,1,1,0,0,557,0
9,1,1,0,0,556,0
10,1,1,0,0,556,0
11,1,1,0,0,555,0
12,1,1,0,0,554,0
13,1,1,0,0,553,0
14,1,1,0,0,552,0
15,1,1,0,0,551,0
0,1,1,0,0,550,0
1,1,1,0,0,550,0
2,1,1,0,0,549,0
3,1,1,0,0,548,0
4,1,1,0,0,548,0
5,1,1,0,0,548,0
6,1,1,0,0,549,0
7,1,1,0,0,550,0
8,1,1,0,0,550,0
9,1,1,0,0,551,0
10,1,1,0,0,551,0
11,1,1,0,0,551,0
12,1,1,0,0,552,0
13,1,1,0,0,551,0
14,1,1,0,0,551,0
