3,1,1,0,0,446,515
4,1,1,0,0,446,512
5,1,1,0,0,447,515
6,1,1,0,0,448,513
7,1,1,0,0,448,512
8,1,1,0,0,448,515
9,1,1,0,0,449,512
10,1,1,0,0,449,516
11,1,1,0,0,450,512
12,1,1,0,0,451,513
13,1,1,0,0,451,513
14,1,1,0,0,451,511
15,1,1,0,0,452,513
0,1,1,0,0,452,512
1,1,1,0,0,453,511
2,1,1,0,0,454,513
3,1,1,0,0,455,515
4,1,1,0,0,456,512
5,1,1,0,0,457,512
6,1,1,0,0,457,513
7,1,1,0,0,459,513
8,1,1,0,0,460,511
9,1,1,0,0,460,514
10,1,1,0,0,462,510
11,1,1,0,0,462,512
12,1,1,0,0,462,513
13,1,1,0,0,463,512
14,1,1,0,0,463,512
15,1,1,0,0,464,511
0,1,1,0,0,465,512
1,1,1,0,0,465,512
2,1,1,0,0,465,511
3,1,1,0,0,464,513
4,1,1,0,0,465,512
5,1,1,0,0,465,512
6,1,1,0,0,465,511
7,1,1,0,0,465,514
8,1,1,0,0,465,511
9,1,1,0,0,465,511
10,1,1,0,0,466,514
11,1,1,0,0,467,512
12,1,1,0,0,467,511
13,1,1,0,0,466,511
14,1,1,0,0,465,511
15,1,1,0,0,465,511
0,1,1,0,0,465,511
1,1,1,0,0,465,511
2,1,1,0,0,465,512
3,1,1,0,0,466,511
4,1,1,0,0,466,511
5,1,1,0,0,467,509
6,1,1,0,0,467,513
7,1,1,0,0,467,509
8,1,1,0,0,467,512
9,1,1,0,0,468,512
10,1,1,0,0,467,511
11,1,1,0,0,467,510
12,1,1,0,0,466,510
13,1,1,0,0,467,509
14,1,1,0,0,468,510
15,1,1,0,0,467,510
0,1,1,0,0,467,511
1,1,1,0,0,466,509
2,1,1,0,0,466,510
3,1,1,0,0,466,510
4,1,1,0,0,465,510
5,1,1,0,0,465,511
6,1,1,0,0,463,509
7,1,1,0,0,463,509
8,1,1,0,0,462,513
9,1,1,0,0,461,508
10,1,1,0,0,461,513
11,1,1,0,0,461,508
12,1,1,0,0,461,509
13,1,1,0,0,460,509
14,1,1,0,0,460,509
15,1,1,0,0,459,508
0,1,1,0,0,459,508
1,1,1,0,0,459,508
2,1,1,0,0,459,509
3,1,1,0,0,459,508
4,1,1,0,0,458,507
5,1,1,0,0,457,511
6,1,1,0,0,457,508
7,1,1,0,0,457,509
8,1,1,0,0,456,507
9,1,1,0,0,457,510
10,1,1,0,0,457,507
11,1,1,0,0,457,507
12,1,1,0,0,456,508
13,1,1,0,0,456,508
14,1,1,0,0,456,508
15,1,1,0,0,456,507
0,1,1,0,0,456,508
1,1,1,0,0,456,508
2,1,1,0,0,456,506
3,1,1,0,0,457,510
4,1,1,0,0,457,508
5,1,1,0,0,457,505
6,1,1,0,0,458,507
7,1,1,0,0,458,509
8,1,1,0,0,458,511
9,1,1,0,0,457,508
10,1,1,0,0,457,507
11,1,1,0,0,458,509
12,1,1,0,0,458,508
13,1,1,0,0,457,507
14,1,1,0,0,458,508
15,1,1,0,0,458,506
0,1,1,0,0,458,508
1,1,1,0,0,458,508
2,1,1,0,0,458,508
3,1,1,0,0,458,509
4,1,1,0,0,458,508
5,1,1,0,0,458,507
6,1,1,0,0,458,506
7,1,1,0,0,457,509
8,1,1,0,0,457,506
9,1,1,0,0,457,510
10,1,1,0,0,457,509
11,1,1,0,0,456,507
12,1,1,0,0,455,507
13,1,1,0,0,455,507
14,1,1,0,0,455,507
15,1,1,0,0,454,508
0,1,1,0,0,453,508
1,1,1,0,0,452,508
2,1,1,0,0,452,506
3,1,1,0,0,452,507
4,1,1,0,0,451,508
5,1,1,0,0,451,508
6,1,1,0,0,451,507
7,1,1,0,0,449,510
8,1,1,0,0,449,507
9,1,1,0,0,449,508
10,1,1,0,0,449,509
11,1,1,0,0,449,508
12,1,1,0,0,448,507
13,1,1,0,0,448,507
14,1,1,0,0,448,508
15,1,1,0,0,447,508
0,1,1,0,0,447,508
1,1,1,0,0,448,510
2,1,1,0,0,448,508
3,1,1,0,0,447,508
4,1,1,0,0,447,509
5,1,1,0,0,447,508
6,1,1,0,0,447,511
7,1,1,0,0,447,507
8,1,1,0,0,448,507
9,1,1,0,0,449,511
10,1,1,0,0,449,511
11,1,1,0,0,449,508
12,1,1,0,0,449,508
13,1,1,0,0,450,509
14,1,1,0,0,451,510
15,1,1,0,0,451,510
0,1,1,0,0,453,511
1,1,1,0,0,453,509
2,1,1,0,0,454,509
3,1,1,0,0,455,512
4,1,1,0,0,455,513
5,1,1,0,0,456,511
6,1,1,0,0,457,514
